zly 10 9 6 9 9 9 10 9
yzby 10 9 10 10 7 10 5 10
dsw 10 7 10 10 7 9 7 10
gs 10 10 7 10 10 7 8 8 
qmkkx 10 9 8 10 7 9 6 10
xie 10 8 8 10 6 9 10 8
yfrz 10 10 10 10 6 6 6 10
gsgj 9 9 5 7 10 8 10 7
yfasm 9 9 7 9 8 9 7 7
jd 10 8 6 9 8 8 9 7
ddl 10 7 7 9 7 9 8 7
ysd 9 7 9 10 6 7 6 10
qd 10 9 7 10 7 8 4 9
yzbzz 10 7 8 7 7 9 7 8
mtk 6 10 6 6 10 10 10 5
fd 10 9 6 6 8 7 10 7
dh 9 8 7 9 7 8 7 7
xrh 8 8 10 8 4 8 4 9
wal 10 4 7 8 5 6 10 8
zj 8 7 6 7 6 7 6 8
rxnc 8 9 4 6 5 9 7 6
kjl 8 6 4 7 7 5 8 8
xwmr 8 7 4 6 7 7 10 3
cyy 6 6 7 8 6 6 5 8
sj 8 5 3 8 7 6 6 6
nllw 7 4 6 10 4 5 6 6
qzy 7 6 4 4 6 9 5 3
rxct 6 7 5 7 3 5 4 6
lkl 0 10 2 4 9 9 7 2
ynzn 8 3 4 8 3 6 6 4
szjy 7 3 6 6 5 5 5 5
tt 6 7 3 7 3 7 4 4
qddc 7 6 2 4 9 4 7 2
